ts,mid,spreadBp,imb,features
2025-09-30T05:04:35.354341+00:00,114205.625,0.021890340340066438,-0.9374788650852683,114205.625;0.021890340340066438;-0.9374788650852683;114205.50781514186;0.08286220784561431
2025-09-30T05:04:36.097238+00:00,114205.625,0.021890340340066438,-0.9374788650852683,114205.625;0.021890340340066438;-0.9374788650852683;114205.50781514186;0.08286220784561431
2025-09-30T05:04:36.097969+00:00,114205.625,0.021890340340066438,-0.9374788650852683,114205.625;0.021890340340066438;-0.9374788650852683;114205.50781514186;0.08286220784561431
2025-09-30T05:04:36.098969+00:00,114205.625,0.021890340340066438,-0.9373552293737576,114205.625;0.021890340340066438;-0.9373552293737576;114205.50783059631;0.08285127989631029
2025-09-30T05:04:41.789861+00:00,114205.625,0.021890340340066438,-0.9373552293737576,114205.625;0.021890340340066438;-0.9373552293737576;114205.50783059631;0.08285127989631029
2025-09-30T05:04:41.790568+00:00,114205.625,0.021890340340066438,-0.9373552293737576,114205.625;0.021890340340066438;-0.9373552293737576;114205.50783059631;0.08285127989631029
2025-09-30T05:04:41.977365+00:00,114205.625,0.021890340340066438,-0.9404370949232468,114205.625;0.021890340340066438;-0.9404370949232468;114205.50744536311;0.08312368090513678
2025-09-30T05:04:43.798309+00:00,114205.625,0.021890340340066438,-0.9404370949232468,114205.625;0.021890340340066438;-0.9404370949232468;114205.50744536311;0.08312368090513678
2025-09-30T05:04:43.799269+00:00,114205.625,0.021890340340066438,-0.9404370949232468,114205.625;0.021890340340066438;-0.9404370949232468;114205.50744536311;0.08312368090513678
2025-09-30T05:04:43.800641+00:00,114205.625,0.021890340340066438,-0.9404541557031055,114205.625;0.021890340340066438;-0.9404541557031055;114205.50744323053;0.08312518886916247
2025-09-30T05:08:23.240541+00:00,114222.375,0.02188713025797266,-0.47678319367272615,114222.375;0.02188713025797266;-0.47678319367272615;114222.3154021008;0.04214207867302271
2025-09-30T05:10:45.703777+00:00,114246.375,0.021882532377941973,-0.6500736694851129,114246.375;0.021882532377941973;-0.6500736694851129;114246.29374079133;0.057458937486633985
2025-09-30T05:11:55.802305+00:00,114190.625,0.02189321583974166,-0.8365946041220379,114190.625;0.02189321583974166;-0.8365946041220379;114190.52042567448;0.07394521471572725
2025-09-30T05:14:02.782909+00:00,114165.375,0.021898057970728867,-0.39147992028968265,114165.375;0.021898057970728867;-0.39147992028968265;114165.32606500995;0.0346022632983856
2025-09-30T05:14:05.820797+00:00,114165.375,0.021898057970728867,-0.39147992028968265,114165.375;0.021898057970728867;-0.39147992028968265;114165.32606500995;0.0346022632983856
2025-09-30T05:14:05.822076+00:00,114165.375,0.021898057970728867,-0.39147992028968265,114165.375;0.021898057970728867;-0.39147992028968265;114165.32606500995;0.0346022632983856
2025-09-30T05:14:05.824150+00:00,114165.375,0.021898057970728867,-0.39147235541653835,114165.375;0.021898057970728867;-0.39147235541653835;114165.32606595558;0.03460159463904557
2025-09-30T05:14:07.820577+00:00,114165.375,0.021898057970728867,-0.39147235541653835,114165.375;0.021898057970728867;-0.39147235541653835;114165.32606595558;0.03460159463904557
2025-09-30T05:14:07.821427+00:00,114165.375,0.021898057970728867,-0.39147235541653835,114165.375;0.021898057970728867;-0.39147235541653835;114165.32606595558;0.03460159463904557
2025-09-30T05:14:07.823490+00:00,114165.375,0.021898057970728867,-0.3910938019089845,114165.375;0.021898057970728867;-0.3910938019089845;114165.32611327476;0.03456813492896294
2025-09-30T05:14:15.888492+00:00,114165.375,0.021898057970728867,-0.3910938019089845,114165.375;0.021898057970728867;-0.3910938019089845;114165.32611327476;0.03456813492896294
2025-09-30T05:14:15.889403+00:00,114165.375,0.021898057970728867,-0.3910938019089845,114165.375;0.021898057970728867;-0.3910938019089845;114165.32611327476;0.03456813492896294
2025-09-30T05:14:15.892394+00:00,114165.375,0.021898057970728867,-0.3911630024646873,114165.375;0.021898057970728867;-0.3911630024646873;114165.3261046247;0.034574251438904295
2025-09-30T05:14:18.893007+00:00,114165.375,0.021898057970728867,-0.3911630024646873,114165.375;0.021898057970728867;-0.3911630024646873;114165.3261046247;0.034574251438904295
2025-09-30T05:14:18.893743+00:00,114165.375,0.021898057970728867,-0.3911630024646873,114165.375;0.021898057970728867;-0.3911630024646873;114165.3261046247;0.034574251438904295
2025-09-30T05:14:18.895534+00:00,114165.375,0.021898057970728867,-0.39185520704961646,114165.375;0.021898057970728867;-0.39185520704961646;114165.32601809912;0.03463543426757076
2025-09-30T05:14:19.893198+00:00,114165.375,0.021898057970728867,-0.3953992030253731,114165.375;0.021898057970728867;-0.3953992030253731;114165.32557509963;0.034948682209498164
2025-09-30T05:14:20.143658+00:00,114165.375,0.021898057970728867,-0.3953992030253731,114165.375;0.021898057970728867;-0.3953992030253731;114165.32557509963;0.034948682209498164
2025-09-30T05:14:20.393881+00:00,114165.375,0.021898057970728867,-0.3953992030253731,114165.375;0.021898057970728867;-0.3953992030253731;114165.32557509963;0.034948682209498164
2025-09-30T05:14:20.394546+00:00,114165.375,0.021898057970728867,-0.3953992030253731,114165.375;0.021898057970728867;-0.3953992030253731;114165.32557509963;0.034948682209498164
2025-09-30T05:14:20.396496+00:00,114165.375,0.021898057970728867,-0.3953992030253731,114165.375;0.021898057970728867;-0.3953992030253731;114165.32557509963;0.034948682209498164
2025-09-30T05:14:24.164603+00:00,114165.375,0.021898057970728867,-0.3953992030253731,114165.375;0.021898057970728867;-0.3953992030253731;114165.32557509963;0.034948682209498164
2025-09-30T05:14:24.168259+00:00,114165.375,0.021898057970728867,-0.3953992030253731,114165.375;0.021898057970728867;-0.3953992030253731;114165.32557509963;0.034948682209498164
2025-09-30T05:14:24.174282+00:00,114165.375,0.021898057970728867,-0.3953365465453959,114165.375;0.021898057970728867;-0.3953365465453959;114165.32558293168;0.03494314411771973
2025-09-30T05:14:24.899738+00:00,114165.375,0.021898057970728867,-0.39495895795969826,114165.375;0.021898057970728867;-0.39495895795969826;114165.32563013026;0.034909769678861134
2025-09-30T05:14:25.714928+00:00,114165.375,0.021898057970728867,-0.39495895795969826,114165.375;0.021898057970728867;-0.39495895795969826;114165.32563013026;0.034909769678861134
2025-09-30T05:14:25.721182+00:00,114165.375,0.021898057970728867,-0.39495895795969826,114165.375;0.021898057970728867;-0.39495895795969826;114165.32563013026;0.034909769678861134
